0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Almost perfect app amazing gameplay good music beautiful scenery.,I couple problems get later game features added along glitches.,The wingsuit get buggy sometimes kills reason.,The music gets little repetitive huge deal.,Great game hoping another sequel.,,,,,,,,,,
artwork beautiful.,game play similar altos adventure new touches.,time noticed starting lot ads levels also noticed ads respected fact turned sound app deeply appreciated.,paid remove ads show appreciation that rather wanting rid ads.,,,,,,,,,,,
It is one run collect coins games different.,It is relaxing really pretty scenery.,Also good stress reliever.,But I give game stars glitching.,When sun rising background glitches like something behind it.,And I make Chasm player gets stuck edge crashing again.,Noodlecake read this please fix issues.,,,,,,,,
The game fun.,The challenges fun.,The graphics beautiful.,My issue game crashes I get really far single run.,Around k freezes wipes progress run.,Very frustrating.,Also couple challenges seem bugged.,For instance I got crate drops single wingsuit register completed.,Overall good game.,,,,,,
Overall pretty nice game story graphic wise.. nice atmosphere goal pretty fun ads excessive either something live with though expensive get rid them.,Though lost interest due getting frustrating I still play cuz graphics still try complete tasks.. yeah good game,,,,,,,,,,,,,
I mean I like I expecting much more.,It is desert version original game glitches lags.,I think made games one.,I think animation scenery much beautiful before that is it.,It is copy.,Everyone complimenting zen mode etc last game zen mode everything else too,,,,,,,,,
Several glitches addressed make star game. .,When grinding vines system detect switched vines grinding continuously snaps second one prematurely. .,Occasionally boosting smash rocks jump right rock trips up. .,It would better list combos scrolled get past bottom still see combo score multiplier. .,The way lemur flies air times looks silly. .,When die would nice stats showed highest combo multiplier and notified beat highest. .,The game often glitches wingsuit pool. .,The game sometimes glitches go wingsuit wall grind puts character behind wall.,Other that awesome game,,,,,,
It is really fun there is three zones explore.,I hoping ruins would lead ancient aqueduct aqueduct would lead city etc.,More board types would also interesting.,Maybe Glide Board gives airtime Or Mist Board gives double speed boost water I would love see new things even leads new game.,,,,,,,,,,,
The game great needs technical work.,Most importantly game slows crawl phone seemingly random.,That is frame rate drops nearly unplayable slideshow levels sound stutters way desktop sometimes catastrophic crash.,This game actually crashed outright me feels like wants slowdown thing.,I point I running Nexus x phone I played Altos Adventure on never problem with I seriously doubt problem phone powerful enough.,Secondly game occasionally loses progress.,On last run I completed goal wallride grind times one run next run progress reset I done it.,These technical hangups aside great game worthy successor Altos Adventure.,,,,,,,
I absolutely love playing game.,The visuals atmosphere pulls surf sand dunes vibrant desert.,One major problem I game Mayas inability jump specific chasm.,No matter much momentum speed boost not always almost land side ultimately ends falling.,She is one favorite characters perform satisfying combos.,I wish problem would solved fixed.,,,,,,,,,
This fun time killing game.,Would stars cheat goals.,You will encounter something again moment get thing goal rarely see it.,I get want make progress harder sometimes ridiculous.,I have set distance records looking scenario goal day I would see several times short run.,,,,,,,,,,
I love game reinstalled deleteing long time ago.,Still really fun play.,recomend.,When I came back I notice added pop adds.,Going offline does not work.,Those I played game.,Lots audio bugs I mean lots to.,Although bad kind of like sorta.,Game lags useually start much that.,I wish pop adds removed kind of annoying every time I die I watch one.,,,,,
It is relaxing game last one was.,The soundtrack immersive put earbuds like sound sledding sand grinding vines music wonderful pleasant even hours worth play storm waterfalls amazing.,And mention detailed landscapesred heart The slight problem sensitive last game ads bit frequent.,,,,,,,,,,,,
There adds game forced watch powerups find make whole thing interesting ever gawking scenery.,The olny side I seen far difficult distinguish objects back round wich harm player objects forground Especially newer players yet used game,,,,,,,,,,,,,
When I speed slope amazing filp edge feels exhilarating .,like I am right Paz.It is simple beautiful music relaxing.,I would rank flower journey ps.,My issue I wish pay done option.,The ads really defeat purpose game that is designed relaxing.,,,,,,,,,,
It is fun game pretty I think needs polishing.,Approaching high velocity rocks trying jump right still trip up.,Dipping ground level wing suit kill you.,Pools generate right chasems ruin velocity because fail jump.,And fact backflip rotation speed locked depending character playing almost questionable gameplay design.,,,,,,,,,,
This game absolutely amazing.,Beautiful scenery fun challenging gameplay incredible music.,Unfortunately music glitches stops playing seconds normal run zen mode there is three minutes music disappears.,I love music would great developers could fix,,,,,,,,,,,
It is fun great game I enjoy lot The ads bit annoying pay get rid them.,My biggest issue appear feedback button anywhere app I leave feedback here.,I noticed sometimes not every time I find lemur seconds later I crash I ran rock there is rock there.,At first I thought I observant enough keeps happening.,Once vine nowhere near ground,,,,,,,,,,
Overall great game even maxing skills get often.,However minus star due game hanging every then... usually awesome stunt run happened times I started playing yesterday quadruple backflip couple times midjump chasms.,Still fantastic game,,,,,,,,,,,,
I originally rated stars recently I have encountered issues it.,I still much enjoy it I even purchased noads upgrade.,However despite making purchase I still receive random popup ads.,This incredibly frustrating since I really pay money see those.,If fixed I would give back original rating stars.,Besides error wonderful game I highly recommend.,,,,,,,,,
A solid game takes tired core concept onebutton runner breathes new life it thanks stylish graphics hauntingly beautiful soundtrack.,As whole there is undercurrent Journey game saturated color palettes faintly mournful acoustic tracks protagonist evergrowing scarf thankfully though Journey one favorite games likelyintentional homage sat well me.,I knock points intrusive video ads jump immediately every run hardly dealbreaker I still heartily recommend game.,,,,,,,,,,,,
I idea new alto game.,The idea next location based bustling city.,My idea includes multiplayer game revolves around tag.,Instead platform game ground tightropes game would least floors The roof building skiing windows tightropes lastly ground streets city.,The players get play cast alto friends along powerups interactive map options.,like shut window.,,,,,,,,,
This game fun It is beautiful hard hard.,I thought awhile get kind of boring scenery longer beautiful was.,But I love skip tasks money I glad added that And buy stuff help longer lasting things.,,,,,,,,,,,,
I wish better explanation canyon wall grind.,sometimes seems like character gets heavy pass wall high enough without falling pit.,sometimes worked sometimes I find hard figure I pass chasms sometimes face tears joy I really love graphics though.,I love Altos adventures,,,,,,,,,,,
Great game Very limited short ads part.,My complaint times day night change near impossible distinguish rock trip bush dark.,However beautiful looking game I always loved silhouettes favorite old game limbo.,This game slight feel one.,,,,,,,,,,,
I really liked design artist.,The animation really smooth well.,The sound effects especially sand sounds.,Overall relaxing game play The issue I hot air balloons rise high jump it.,But I definitely recommend Props creating great addicting game.,,,,,,,,,,
Love it I find anything wrong it Smooth fair game play BEAUTIFUL art breathtaking music...,Except sometimes music breathtaking.,Sometimes music lags like broken record starts making sound similar hummingbird stuck drainage pipe.,Overall wonderful game though,,,,,,,,,,,
Appealing easy eyes.,Of course ads though bad skip past watch.,There moments ads.,Game challenge timing jumps read peoples agrivated comments insanely hard cannot complete tutorial.,The environment catches attention simple yet amazing detail.,,,,,,,,,,
This game absolutely fantastic.,The controls fluid natural responsive art sound gorgeous world presented interestingand I would love know even though Alto story could potentially ruin intrigue i am going to.,The thing irks adsthougb take away much.,Also inapp purchases handled quite wellyou them also earn stuff kind of like Warframe.,,,,,,,,,,,
It is greatI love concept I live Adventure I love gameplay I hate unresponsive menu is.,You tap everything twice restart go menu kind small thing gets unreasonably annoying especially considering small fix would be.,,,,,,,,,,,,,
Beautiful game.,I love graphics.,However frustrating game purposefully withholds things needed order pass level probably order get watch ad.,Need smash rocks lotus flowers Good luck seeing lotus flowers.,Do not need them Here lotus flowers handle.,Need grind walls Here wall grinds...good luck seeing meters.,It is slightly frustrating insulting.,,,,,,,,
Super fun game I spend much time it One complaint I crash right chasm watch video resume instead restart enough speed make chasm.,I wish would start chasm back little I get speed it.,,,,,,,,,,,,,
Between Altos Adventure one Odyssey people already given positive reviews I full agreement with.,I love game I one complaintideasuggestion.,ZEN mode greatest Or could be.,I AM GOING TO I would much successful relaxing ZEN experience ROCKS could optional obstacles.,ONLY IN ZEN MODE I suggesting.,It is tough relax ZEN w ZENlike meditative tranceinduced play mode.,KUtGW.,,,,,,,,
Great game love graphics best pastel graphics ever seen d games.,A gamer designers honest opinion The physics amazing I love level system makes change different characters dependant tasks.,However one thing I dislike that every runs gives long obnoxious ad.,Other game amazing Edit stay alive get many ads Yeah I know game frustrating.,,,,,,,,,,,
This really beautifully designed game.,All pleasure play sometimes I issues controls.,Especially one tutorials.,I will complete tasks system will not regiseter I cannot move tutorial.,,,,,,,,,,,
The game beautiful comes its visuals.,The gameplay simple great type game.,Something Is bit annoying ads annoying times is not going break experience.,The Zen Mode nice sit relax to.,I would give game five star rating but ads downside me.,,,,,,,,,,
I like game lot every time I go long streak meters example game crashes I lose progress I get coins I obtained I complete missions level due game crashing.,I hope there is something there is point playing game going crash every time I make progress.,This also happens Altos Adventure I hoping problem game.,,,,,,,,,,,,
This game really cool take endless runner difficult achieve genre.,It feels like there is air mystery discovery makes interesting.,My one gripe tapping jump chasms seem work well matter well I time it.,Swiping works though mentioned tutorial.,Overall fantastic game.,,,,,,,,,,
Superb game.,issue wingsuit button right beside would put thumb play.,nibody putting finger front boarder would block incoming environment.,easy beta stuff fix.,see lookes developer.,crash put button wrong place.,,,,,,,,,
Beautiful game put simply.,The graphics wonderful music great gameplay simple.,I two minor complaints .,Please ease ads gets annoying immersion breaking .,audio breaks sometimes.,Otherwise great game,,,,,,,,,
Beautiful graphics relaxing sound music challenging without becoming stressful.,Goals sometimes little hard accomplish.,I also encounter gameending bug every minutes gameplay usually issues object boundaries.,Overall pretty fun game.,,,,,,,,,,,
When I play game wireless headphones sound gameplay tend glitch sometimes even crash.,Other game great.,I played original Altos adventure I loved it.,This even better buggy.,Hope fix it.,,,,,,,,,,
I love everything game...whenever works.,For reason app opens then moment I actually try go downhill app freezes makes buzzing beep sound that is BEYOND loud.,Sometimes crashes well.,It is weird I play game without problems one moment then next minutes I will open game it will freeze more I have clue do.,,,,,,,,,,,
I really like gameplay.,The artwork great I am enjoying new moves compared original.,However game slows crashes every minutes so.,I am new Pixel background apps running.,Otherwise would five star game.,,,,,,,,,,
I really like game.,A flaws...,I am getting haptic feedback device highly lauded feature several reviews.,Some random glitchy artifacts sound rendering... dropped frame rates.,My device cutting edge I think port ios experience could vary.,Do not let dissuade you.,Get download worth throwing dev two bones cut ads which are not terrible.,,,,,,,,
I really like game.,Unfortunately I cannot give star rating deserves.,This due fact I feel either poorly optimized Android phone weird.,I Pixel a runs previous game series Altos Adventure well.,There never lag frame drops glitches game.,However I installed Altos Odyssey things drastically different.,The game lagged ran fps predecessor.,,,,,,,,
I want give game stars game lag lot could fixed little there especially phone LG Stylo maybe used phone even bugs really great game amazing soundtrack accompany game itself.,The background really pretty really follow game Altos adventure also amazing soundtrack took breath away.,I thank devs taking time make amazing game.,,,,,,,,,,,,
The game great first made biomes got repetitive.,I really wish places explore.,At star thg I always looking forward I would end next new stuff stopped coming.,This matter days.,Other that beautiful game I reccomend playing it.,,,,,,,,,,
I live weather rolling blackouts because power shut Alto seen bleak moments.,Playing offline generator hums made Alto beloved friend mine.,The game also challenging times stress I find Alto relax me.,Alto game me.,I really like second adventure much.,I get delight jumping rising helium balloons executing trick it,,,,,,,,,
An awesome relaxing game interesting challenges whole thing beautiful visuals.,My problem small one that obstacles blend background easily making game unnecessarily hard unfair.,,,,,,,,,,,,,
This game great beautiful colorful great music.,The problem I game ads.,The game clean nice nowhere pop add comes up.,There way fix this maybe played quick animation prepare us ad would make little less place.,,,,,,,,,,,
Fantastic follow simple addicting game A great game made worse intrusive ads runs Adding X close seconds one thing lot way close click ad quickly exit Play Store page.,,,,,,,,,,,,,,
I love game.,The graphics music simple aspect gameplay.,It even take much RAM I play GB tablet frame drops.,But I am cutting one star ads infuriating.,It plays ad time want replay revive life.,In case plays ad even I spend coins.,The ads loud horrible games actually buffer I am spending time watching ads actually playing.,,,,,,,,
Simple addictive gameplay beautiful art music relaxing fun.,I often play offline trips kill time.,A characters unlock different stats far I always use one fastest flip speed.,There is chasms usually involving wallclimbing I never pass I am able I use wingsuit.,Also changing lighting make hard tell what is rock tree climbing wall background I wish get dark.,,,,,,,,,,
The game terrific graphics terrific controls terrific characters.,However I given stars thing.,There option settings put symbol wingsuit right side screen making left handed gameplay difficult.,Please add option.,,,,,,,,,,,
I never give star reviews there is always done I absolutely zero complaints regarding game.,I love every part game mechanics smoothness zen mode too one aspect game heart musicface holding back tearsmusical notemusical notes.,This game literally brought tearsloudly crying face Well done guys please keep upface holding back tearsloudly crying face,,,,,,,,,,,,
Greate music visual gameplay one big problem watching ad gives you gold its much you lose motivation collect coins all.,YOU spam stupid ad earn something understand you are trying earn money reduce gold increase gold amount rides make interesting.,,,,,,,,,,,,,
It shame I cannot sync progress two devices.,That I removed one starts.,Otherwise I would gave perfect store.,,,,,,,,,,,,
Lots fun chill.,No pop ads either fantastic Generally good game play minutes day,,,,,,,,,,,,,
Hello Devs I miss mystery drop time timing seems little off crates falling.,Other game great.,,,,,,,,,,,,,
Only stars ad BS bandwagon do.,I get need make money though.,Otherwise awesome game calming.,,,,,,,,,,,,
overall love game know may see review developers small idea could add.,zen mode could able select possible biomes could see a screen biomes checkmarks next one click checkmark turn x will not able acess biome in zen mode i am aware compass normal mode.,would keep talking game but there is character limit.,goodbye.,,,,,,,,,,,
Very serene quiet problem somewhat hard see rocks sliding hills,,,,,,,,,,,,,,
This game absolutely fantastic.,The art work amazing controls easy learn sound design phenomenal.,The gameplay addictive play offline Only reason I am putting four stars probably ads every second run sometimes rocks pretty much unavoidable invisible.,Other small things game probably best mobile game there.,,,,,,,,,,,
Four stars always room improvement path perfection.,I fond memories coming home hard day chilling simple stress free game.,The music lovely I definitely would loved variety feel would even better.,Otherwise I would sometimes turn sound music surf sands playlist runs background.,I liked art style simple controls whole ambience.,Thank you.,,,,,,,,,
Pretty good game road trips waiting I really like starter character awful I have played game unlocked characters first guy unplayable.,If want to get friends game they will drop it.,Another thing I like cannot see time high unless pass it die reset challenges.,,,,,,,,,,,,
I would love see uses coins future like upgrade increases speed duration speed boosts tricks something.,Finally I may one thinks would nice able see far traveled zen mode.,Otherwise work art I think I may addicted.,Also bought ad remover devs deserve money.,,,,,,,,,,,
This game amazing.,I one problem.,After game finishes total score shown ad played.,Now I mind ads they are optional i.e.,watch ad continue playing etc.,But ad played sudden affects game.,After I exit ad play new run game starts sticking hinders performance.,I uninstall game though.,I love music graphics everything else except one problem.,I hope gets fixed.,Thanks,,,,
Amazing game beautiful graphics.,A new adventure discover.,I love water pools wish more.,I understand game year selection.,However high score function work linked account bugs interfere gameplay.,Also would great could still find upcoming chasms air performing tricks.,,,,,,,,,
A good game problems first game persist.,Love overall simplicity way goals used level up.,Ads well balanced disrupt gameplay.,Well worth money.,However often levels leave way gain speed certain stretches especially start.,Radio drops also fall slowly often miss majority frustrating spent coins upgrading aspects.,And finally character abilities little flat leading lack interest unlocking new ones.,It would good see issues addressed next iteration.,,,,,,,
I really like game art breathtaking.,But one time I playing Mid way I encountered bug.,The screen turned purple white sound lightning.,And I crashed probably rock Lots crash related text appeared screen.,Please fix bug.,Thank you.,That high score I lost bug,,,,,,,,
I love game especially music background changes place place day night stormy clear.,I love entire vibe game.,The rocks look similar objects background adds difficulty game.,At first jumps backflips may hard control playing time eventually master it.,Overall game fun need variety like game modes something.,,,,,,,,,,
Love artwork game soundtrack.,For part relaxing game.,The ad set however really pull experience....I feel like set I always accidently click I close go back in.,Sometimes causes performance issues I close reopen game.,,,,,,,,,,,
Visually aurally impressive gameplay generally fun challenging.,Three things mark down.,ads annoying really break atmosphere devs worked hard build. . As others mentioned times almost impossible see character make landing stunts difficult. . Wall riding pretty hit miss sometimes works sometimes not.,When does not almost always results crash.,Frustrating.,,,,,,,,,,
What great game is great music great styling designs great gameplay interesting addictive.,But thing keeps rating game stars ads.,Sure free intrusive annoying I even almost got every time I want play run over.,But overall great game is download package huge all less MB that get great visual great music great gameplay,,,,,,,,,,,
This game great however I have experiencing incredibly frustrating bug keeping progressing.,I am I think last challenge score least points one run.,I have tried many times every time I get points game freezes crashes.,I experienced crashes trying complete challenge every time I am well.,Cannot complete challenge point there is much point playing anymore.,,,,,,,,,,
Not good first game.,Still unique atmosphere art worth playing.,I would rate .,I could.,Has problem achievements I cannot complete even though I am positive I already should have.,There counter stats tracks it.,That is bit frustrating annoying also decreases pleasure comparing first game.,,,,,,,,
The game feels like good improvement previous one.,Love new mechanics walls balloons lotus much better old feather option compass.,Te scenery awesome.,Just technical issues here .,The night time blended lacks contrast..,I cannot distinguish character upsidedown wall background feature could easily fixed making board glow light color night something similar.,Still keeping night dark enough contrast rocks path may easily confused background features such bushes smack right absolute confidence.,In conclusion day night cycle least feels like mood breaker making game lot less enjoyable half time.,More becomes irritating makes want drop game instant shame love series. .,In wallride caverns walls show dots bottom screen character instantly dies invisible threshold happen.,,,,,
A beautiful really well designed game.,Fun relaxing.,But ads overkill.,While make money enough profit come transactions get coins ads continue playing falling off.,Having ads ending game much.,Would stars otherwise.,Some minor points improvement screen dim I would love option play standard game zen music sandboard tutorial needs explain better climb walls.,,,,,,,,
Simple game one best mobile gaming experience.,Easily stars I giving performance issues.,Since I upgraded Android degradation performance.,It is bad moment definitely feels less smooth Android .,I AM GOING TO game reason enough buy iPad midrange Android device.,Be patient unlock Izel mind blown thrilling pleasure,,,,,,,,,
This huge improvement previous game gameplaywise.,There challenge lot explore etc.,Though game gets repetitive unlocking three locations.,There also little point unlocking characters besides Maya therefore making leveling chore something fun.,All all Altos Adventure better.,,,,,,,,,,
Definitely fun.,A little things get hang of that is good.,Very beautifully put together.,I would like able reset goals without losing characters wingsuit coin etc.,Also would good able design challenges or least put forward consideration.,How k coin run without simultaneous lotusandmagnet A run separate walltowall jump passages backflipfromapooldives I got many many more...,,,,,,,,,
Great game worth money.,I completed one bugbear albeit small maybe bug crash get chance revive free.,For reason press button twice end run needs pressing twice.,It may feature I cannot see why.,,,,,,,,,,,
Very impressed beginning.,Love style game felt almost therapeutic.,Keen get rid ads I paid also get coin doubler quite expensive opinion.,Also using coins buy compass still pay coins use item paid for...this insulting.,I really lost interest repetition within game I am sure using two fingers input could brought variation tricks backflips.,,,,,,,,,,
The controls simple yet able accomplish alot this.,One button giving correct situation multiple things.,This become difficult trying grind wall mid flight end dying poorly timed back flip.,The music sound game great creating calm relaxing experience.,art style creating atmosphere game.,With many beautiful backdrop would make great wallpaper.,The game worth time lest mb,,,,,,,,
Overall pretty good game.,I like time limit seems short.,I get want games go forever but time limit gets annoying quite quickly.,Instead time limit I suggest adding button says end game game last longer minutes players would agree press end game button.,Either something similar button everyone agree press order end game add longer time limit.,,,,,,,,,,
Edit well I cannot seem upgrade game Which means I cannot play I am losing coins because I cannot play cannot get extra bonuses.,I have trying days get upgrade work spins middle finger up HELP I am addicted game.,Seems last update I am snail pace build coins frustrating.,My complaint time wait watching ads collect coins bit long.,,,,,,,,,,,
things dislike version game .,round timer I never witnessed actual game uno taking less minutes seconds.,games managed finish ONE.,feels like getting really good game everyone cards more match over. . challenging card.,rule uno defeats purpose using card time do not want challenge someone using it do not choice.,,,,,,,,,,
Downloaded twice still work.,It opens plays music I press play button developer logo pops nothing happens.,I back screen back home screen flashy says UNO game work that.,Very let down.,Update Problem sorted out.,The wifi I connected security filter allowing open.,Game addictive bad thing.,,,,,,,,
A lot fun Uno always comes ways play lot fun keep interested acquiring whatever offering.,And best way get advantages honestly spend real money purchase items help goal.,But truly Uno classic Have buy stuff still loads fun Lately though ads getting obnoxious repetitive I take star off.,,,,,,,,,,,,
There slight problem moment stop saying loading... hours still fully updated.,I cannot even fix since buttons press stop loading process frustrating I cannot play.,But I recommend all love game death.,But would nice type players round Uno begins more,,,,,,,,,,,
Great game pretty fun.,One issue.,There NEEDS Change Teammate option.,I gotten stuck teammates do not pay attention make us lose.,There needs option changing rounds.,Very aggravating.,Also free play.,While wait coins something spot play without coins energy.,No winning coins either could still play kill time.,,,,,,
I have playing possibly months now.,I mind ads since intrusive.,I say since latest update ads loading fixed now.,Before update would really frustrating get ads play since they would fail would keep trying would finally play.,I suggestion.,It would nice auto button event click thing multiple times like event currently.,,,,,,,,,
Love game Also love fact app does not ton adds every damn seconds actually get good handful games there is another ad.,Edit ads right seem breaking lot never giving option close ad.,It would go app store.,You restart app entirely make go away.,Plz fix,,,,,,,,,,
Fun game always AI.,They always magically amazing cards get diddly squat.,Every time draw skip wild card needs win keep up.,Now I am always okay challenge I swear bots designed cheat make lose time.,This experience.,,,,,,,,,,
Uno I people I think would call classic card game I am glad I play online without buy again.,Plus I play there is one play actual card game with.,However I small problem it that is bank thing.,You MUST buy want coins it.,For freetoplay players bank annoying partly keeps advertising itself.,I think able get free gets full.,,,,,,,,,
It is really good It many different game modes although fun room temporarily disabled like classic quick start wild It is fun I two things I think changed.,For one person plays last card draw two card one well or draw four able play instead automatically giving two four cards add on.Adding wild mode Second please able change names Love game,,,,,,,,,,,,,
Same fun enjoyable game know love The one issue I that even though I linked facebook none I computer shows phone app.,Not achievements coins friends etc.,like playing two separate accounts.,Otherwise awesome,,,,,,,,,,,
Great game.,But ADS EXTREMELY disruptive.,Some automatically scale landscape mode as app itself displayed.,This forces physically rotate phone skip ad.,Also would great ads automatically interrupt audio default.,Sometimes piercingly loud volumes.,,,,,,,,,
Over great game fall friend send coins day.,Which disappointing try request partner play game enough coins cannot play.,The game allow friend send coins requested challenge.,,,,,,,,,,,,
I love game.,And since last night keeps crashing.,One reviewer crashing said tried uninstall reinstall..,I still work.,I play game time I cannot.,I enough RAM case developers want send feed back that.,Wth happened It is annoying.,,,,,,,,
Although app full potential although I hope best Mattle do need improvements.,For one get rid voice change one It really annoying especially gameplay I gave Gameplay .,Also please make create usernames.,Fix two things I give app .,,,,,,,,,,,
It is fun game lots different ways play.,Every often error message download newest version appears despite newest version downloaded updates available.,It frustrating fix.,Also there is way play two player version despite available apps replicating uno.,There better apps play uno one still good.,,,,,,,,,,
The reason gave stars instead because hate time limit time time runs I am win pisses off.,Other everything else perfect allowed skip every ad seconds better make damn sure hit UNO button cards left risk draw extra cards.,If atleast give option take turn time limit I will change rating stars stars,,,,,,,,,,,,
Why new update taken away ability use voice talk friends.,It made option either use accept voice messages friends.,That is one things made game unique able chit chat meet people talk people.,I able play meet talk people many different states.,Please bring back voice make optional per friend request.,v Mode Rooms,,,,,,,,,
It is fun game uno favorite game mine growing negative thing game app autoplay timed out.,The autoplay sometimes turns halfway timer sooner timer even automatically puts card even I clicked specific card.,This irritated caused lose couple games way I even time out.,That needs fixed fun game play.,,,,,,,,,,,
Pretty fun.,Wish way use coins buy different stuff though card swap blocks like last version.,Also need something pple waste time away timer gets last seconds so.,Super annoying.,,,,,,,,,,,
The game really good overall fun addictive I always loved jump ins I would play irl I am waiting added point nice I think would also better since time limit sometimes I cannot finish game time benefit me much I think jump ins would even better that please add jump ins I have waiting long tired face,,,,,,,,,,,,,,
To everyone new game stupid figure s work challenging system behind it.,Let us say color blue blue cards instead decide play .,If next player challenges think blues could played pick four cards.,Your last resort something play whenever want.,If color challenge it lose.,,,,,,,,,,
This updated review nasty one I left time ago.,This fine app start works.,It features mandatory tutorial players new Uno beginning game.,It is certainly clear understandable platform play Uno on.,I happy short time I played it turn timer feature defeats purpose strategic card playing.,It is colorful fastpaced overall.,A good game play overall.,,,,,,,,
LOVE THIS GAME However I think second timer players put card pick one players like abuse last seconds timer put card pick one wastes players turns people ignorant cannot take loss.,,,,,,,,,,,,,,
Its good game.,But there is stupid functions ruin experience.,First off timer I yet game end playing.,It always ended timer winner randomly selected.,Its ridiculous.,Nobody plays timed uno worthless mechanic.,Secondly stacking able stack makes sense cannot stack another How make sense,,,,,,,,
I really enjoy game Playing time I one complaint though The fee pay order match bit annoying I feel like matches free So loose loose extra coins payed play game quickly become broke.,Otherwises I love playing pass time family thinks i am insane I say I love Mobile Uno Game,,,,,,,,,,,,,
I take back I said sometime time ago lot positive changes new system features help ALL players keep fun everybody.,I have addicted it though still pains I lose coins but hopefully many ways obtain coins keep rolling.,I want give stars fair however I am going subtract one star fact players communication system supported enough game.,,,,,,,,,,,,
It is fun game generally good way take time addictive.,But ads popping bo makes difficult play.,The game also freezes makes auto play move would end losing.,But pretty fun game play I am general.,Just freezing ads problems.,,,,,,,,,,
It is interesting game.,I liked way challenging loose money pay purchase it.,Please make game equal everyone.,Unable purchase amount.,Apart good game.,,,,,,,,,,
It is really addictive.,But I would give stars since ads really irritate me.,Plus would much perfect could play offlineeven bot I complain since I would lose coins network weak playing.,Other that I really enjoy,,,,,,,,,,,
