0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
color,choices,blend,background,nigh,ly,invisible,obstacles,the,gameplay,audio,incredibly,satisfying,quickly,lose,novelty,due,excruciatingly,repetitive,slow,progression,rewarding,minimal,content,the,game,pay,to,play,without,ads,plenty,time,try,ads,start,showing,up,it,is,aimless,endless,auto,scroller,gives,hot,app,gameplay,modern,although,poorly,planned,aesthetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,love,dios,version,game,i,moved,android,i,excited,see,play,store,however,unlike,ios,version,monetization,quite,obtrusive,every,time,crash,get,prompt,watch,ad,continue,get,prompt,watch,ad,skip,one,level,objectives,defeat,point,game,gameplay,awesome,super,smooth,i,would,gladly,pay,game,monetization,ad,fest,makes,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,beautiful,however,change,weather,game,annoying,especially,since,changes,make,hard,see,there,is,option,buy,game,you,get,option,die,continue,watching,add,starting,over,the,first,plays,start,uninterrupted,every,get,couple,long,annoying,ads,start,typically,last,seconds,get,every,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,good,graphics,atmosphere,calm,pisses,include,objectives,sometimes,force,pay,coins,skip,sometimes,go,fast,see,next,obstacle,already,collide,it,pretty,decent,game,needs,lot,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,could,great,ads,every,time,die,super,annoying,completely,kill,otherwise,awesome,ambiance,game,also,i,would,like,able,play,outside,is,its,had,i,est,spot,brightness,way,up,i,can,not,see,anything,night,game,zen,mode,great,i,want,able,progress,without,extra,ads,i,would,seriously,pay,ad,free,version,game,did,i,mention,ads,terrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good,core,gameplay,basically,first,one,they,adjusted,gameplay,monetize,it,unfortunate,the,game,ruined,awful,video,ads,attempts,can,not,remove,frequently,auto,open,google,play,store,i,happy,purchase,games,ad,free,upgrades,i,loved,first,alto,game,one,essentially,unplayable,way,chill,though,tried,like,one,too,uninstalling,though,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three,problems,i,am,going,mention,here,you,get,stuck,ground,missing,chasms,often,makes,borderline,impossible,play,single,round,even,zen,mode,when,tap,players,button,swap,characters,often,starts,new,run,instead,allowing,swap,characters,felipe,crash,even,lined,landing,smooth,character,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,longer,stress,relief,ing,game,start,giving,terrible,ads,game,even,fru,stating,ads,skipp,able,its,getting,lot,time,close,this,fru,stating,game,now,i,enjoyed,game,since,long,time,ago,not,sorry,write,review,like,all,aspects,game,good,wasted,start,giving,painful,ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
used,absolutely,love,series,now,filled,ads,option,pay,remove,them,the,performance,gone,way,down,playing,pixel,laggy,never,used,like,alto,same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,amazon,app,store,version,updated,too,no,google,play,integration,anymore,and,left,ad,altos,adventure,says,amazon,looks,gorgeous,fullscreen,though,i,bought,double,pack,playstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,genuinely,great,app,holy,christ,ads,it,ruins,experience,i,wish,game,developers,reliant,them,completely,wrecks,immersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,loved,gameplay,adds,frequent,can,not,skipped,sit,almost,minute,every,time,takes,away,joy,playing,wonderful,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,would,great,require,watch,ads,get,extra,life,i,would,gladly,pay,get,lives,start,without,watch,ads,games,i,am,aware,option,remove,pop,ads,save,opt,in,videos,i,think,missions,relatively,difficult,accomplish,without,watching,those,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,like,game,music,graphics,albeit,sometimes,dark,can,not,see,rocks,without,increasing,brightness,uncomfortable,levels,sometimes,ads,launch,without,clicking,revive,long,edit,lately,able,revive,i,watch,video,till,end,nothing,happens,i,tried,several,times,several,days,since,problem,consistent,update,edit,review,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beautiful,scenery,simple,realistic,kinesthetic,s,really,good,balance,fun,challenge,chill,music,sound,randomized,levels,done,well,the,words,pop,screen,really,distracting,cheapen,experience,many,screens,flip,replay,run,the,average,person,spend,rd,game,time,flipping,unwanted,screens,not,including,ads,remove,words,screens,give,first,levels,might,buy,it,victory,hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almost,excellent,however,selective,ads,seem,skips,feature,forcing,watch,whole,thing,considerably,annoying,that,alone,takes,two,stars,off,also,sometimes,goals,text,shift,black,white,depending,color,background,good,luck,reading,that,edit,the,achievement,banners,enormous,blocking,view,character,they,are,midair,i,have,wiped,twice,notifications,one,less,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,kind,of,fun,i,understanding,incredibly,varied,outcomes,movei,do,sometimes,i,go,flying,wall,times,i,feel,i,have,done,movei,get,backflip,i,want,i,slowly,start,sliding,down,the,changing,times,also,frustrating,you,decipher,blurs,black,screen,going,end,run,rock,randomly,pops,black,blended,black,insert,random,background,object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seems,fun,sound,messed,up,crackly,poppy,this,installed,chrome,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,tutorials,extensive,enough,specific,timing,needed,i,love,background,music,aesthetics,there,is,enough,contrast,foreground,i,can,not,see,rocks,tell,bushes,background,the,player,way,small,properly,see,shield,looking,rocks,i,would,love,visibility,option,character,rocks,simply,bigger,zoomed,attention,grabbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleted,games,within,day,beautiful,graphics,many,ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,frustrating,less,enjoyable,sequel,this,game,introduces,wall,grind,trick,could,fun,mostly,frustrating,the,physics,new,move,unpredictable,often,results,crashes,the,challenges,also,rely,heavily,random,generation,luck,for,example,one,challenge,see,two,birds,control,knowledge,appear,frustrating,what,made,first,game,great,calm,gameplay,making,frustrating,ruins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,wonderfully,atmospheric,may,be,gameplay,pretty,hard,get,into,and,especially,annoys,rocks,they,blend,background,much,see,tilllate,it,also,feels,unnatural,press,to,during,jump,to,be,honest,i,keep,wanting,press,character,accelerate,bit,frustrating,can,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,fantastic,albeit,goes,dark,slightly,dark,tell,difference,rock,something,else,the,biggest,annoyance,ads,fine,ads,popping,support,game,makers,annoying,x,close,ads,takes,pixel,precision,i,taken,page,install,game,least,x,everytime,i,try,closing,ad,suspect,put,eventually,least,pay,ads,option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,fun,offline,game,simple,yet,beautiful,graphics,unfortunately,i,immediately,uninstalled,never,play,one,reason,the,optional,ads,optional,i,understand,need,ads,free,game,however,presented,choice,die,of,end,run,or,watch,ad,continue,run,every,two,runs,even,i,click,end,run,i,still,presented,second,unskip,pab,lead,nope,i,am,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,originally,downloaded,i,phone,happy,see,free,i,made,transition,android,however,comes,cost,constant,bardes,app,purchases,ads,greatly,take,away,core,experience,atmosphere,game,but,hand,gameplay,still,amazing,visuals,music,absolutely,stunning,bit,shame,see,game,wind,like,i,would,gladly,pay,au,full,version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,used,love,game,recently,ads,becoming,way,bothering,after,die,get,sec,ad,loud,annoying,music,ends,either,bait,demo,screen,skip,small,button,i,try,press,takes,play,store,page,adbutton,either,small,i,always,miss,likely,fake,the,devs,clearly,care,anymore,game,use,cash,grabber,no,updates,just,ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,tried,playing,times,couple,years,bad,trick,system,always,makes,quit,within,minutes,frustration,the,reason,that,begin,turning,backflip,realize,able,make,it,can,not,revert,turning,way,around,the,game,forces,all,nothing,full,commit,trick,feels,horrible,unfair,since,failed,trick,means,die,must,start,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,simple,enjoyable,plagued,ads,asks,get,rid,them,this,would,okay,able,skipped,many,close,properly,go,long,place,links,commonly,pressed,areas,i,am,forced,close,game,get,rid,them,also,characters,maya,seem,suck,fun,game,seemingly,useless,traits,in,conclusion,good,game,trash,execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
had,worked,fine,month,suddenly,freezes,startup,i,done,changes,phone,installed,new,apps,i,am,technician,i,know,computers,programming,deleting,cache,help,reboots,deleting,all,data,working,i,am,start,progress,i,made,uninstalled,it,getting,quite,annoying,ads,run,seconds,without,able,bypass,them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,absolutely,amazing,i,play,like,three,days,wiped,progress,i,quite,far,game,racked,lot,coins,honestly,makes,want,play,in,case,i,lose,progress,again,i,trying,find,because,i,found,way,reset,progress,in,ever,seen,progress,actually,got,wiped,anyway,get,progress,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,could,play,hours,lovely,game,frequency,lenght,loudness,ads,beyond,understanding,i,problem,watching,ads,every,single,time,character,fails,seconds,fact,ads,close,button,go,play,store,go,back,app,mindblowing,i,can,not,understand,possibility,pay,completely,remove,ads,i,stopped,playing,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,awesome,game,let,one,thing,the,music,stopping,jumping,skipping,reason,annoying,i,preregistered,game,sound,issue,since,launch,stars,audio,still,issue,since,launch,i,sent,bug,report,via,email,review,score,altered,subsequently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,wish,i,could,give,it,good,first,i,like,gameplay,every,run,i,get,long,ad,takes,straight,play,store,the,way,escape,close,app,times,i,really,can,not,bothered,opening,again,its,shame,i,got,quite,far,missions,i,starting,improve,totally,ruins,experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love,game,ads,intrusive,locks,phone,i,can,not,get,ad,videos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very,enjoyable,game,would,happily,pay,money,disable,jarring,video,ads,option,rating,game,would,much,higher,totally,spoils,wonderful,ambience,confronted,aggressive,video,ad,send,run,also,day,night,cycle,nice,night,makes,rocks,much,harder,see,may,be,give,reflections,something,otherwise,incredibly,frustrating,i,am,uninstalling,app,now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,big,meh,me,first,all,lacks,good,feedback,makes,alto,really,fun,controll,second,all,got,red,ability,issues,i,lost,many,times,obstacles,i,really,see,the,nice,detail,fact,i,could,safely,backflips,i,see,ground,camera,moves,fall,speed,low,there,is,enough,time,react,land,right,side,up,but,enough,make,problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bought,played,apple,arcade,was,disappointed,version,missing,lost,city,that,premium,version,game,lot,better,version,mainly,lot,jumps,placed,specifically,knock,pay,watch,video,keep,going,if,offered,version,game,i,would,continue,playing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,great,thing,game,audio,other,that,obstacles,blends,background,makes,difficult,spot,especially,gameplay,scene,set,night,i,believe,rotation,speed,increase,rights,low,difficult,any,flips,all,overall,graphics,audio,great,boring,unrewarding,gameplay,gets,monotonous,hours,playing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretty,good,game,controls,hard,for,me,get,every,run,ends,chasm,jumps,good,enough,also,instead,increasing,difficulty,runs,reduce,contrast,making,hard,see,anything,got,tired,never,quite,going,fast,enough,jump,chasm,uninstaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
